lat,lng,title,description,type
46.45899224668929, 6.846955640746545, Action - Rassemblement contre l'austerité à Vevey, "Appel à tous les lieux mobilisés solidaire de la Riviera | Jeudi 4 décembre - 15h | Rassemblment contre la destruction des services publics, NON à l'austerité !", action
46.45933753247789, 6.845991932040575, Action secteur de l'enfance - Rassemblement à Vevey, "Action du secteur de l'enfance à Vevey | Jeudi 4 décembre - 17h | Suite au rassemblment de 15h à Vevey, un autre rassemblement a lieu pour soutenir le secteur de l'enfance !", action
46.54761263465361, 6.574006596744907, Ecole supérieur de la santé - Site de Crissier, "En grève le 4 décembre !", lieu
46.47913767334043, 6.853165539144559, Fondation de Nant, "Mobilisé le 4 décembre", lieu
46.519592222936424, 6.637130194461185, Statistiques Vaud, "En grève le 4 décembre !", lieu
46.73257266789995, 6.531039449449161, EP d'Orbe et environs, "En grève le 4 décembre - Fermé toute la journée !", lieu
46.534712962397, 6.603670424239532,EP de Prilly Romanel-sur-Lausanne et Jouxtens-Mézery,"En grève le 4 décembre après-midi | Collège de Mont-Goulin en grève toute la journée le 4 décembre !",lieu
46.50947118249321, 6.650263026085686,EP de Pully-Paudex-Belmont,"En grève le 4 décembre !",lieu
46.46679476635341, 6.896149354918965,EPS de Blonay - Saint-Légier,"En grève le 4 décembre !",lieu
46.53653657774638, 6.607280542327087, EPS de Prilly - Collèges Union et Grand Pré, "En grève le 4 décembre ! - Fermé toute la journée ", lieu
46.44184722723823, 6.891508869833245, Ecole professionnelle de Montreux, "En grève le 4 décembre !", lieu


